,Meanfpdm,S.D.fpdm,Meancingdm,S.D.cingdm,Meansaldm,S.D.saldm
822,0.137988415,0.169412212,0.135118626,0.17865799,0.109975185,0.158842072
829,0.126566834,0.169882341,0.126855883,0.174045281,0.11377436,0.161565719
833,0.163121839,0.193905837,0.139967387,0.179841218,0.146934429,0.174404621
837,0.137741012,0.178302192,0.098689629,0.160170378,0.100300759,0.155740179
845,0.110903717,0.165934478,0.127363014,0.169055856,0.105871553,0.162225591
855,0.116065351,0.165737397,0.143144653,0.173604475,0.144692185,0.178259173
864,0.159715615,0.184358409,0.119418572,0.173777328,0.105444076,0.153069293
867,0.130351646,0.172350631,0.10287187,0.158554414,0.097967185,0.154378282
868,0.128930385,0.168514111,0.124656696,0.167576449,0.117700732,0.171180889
882,0.116911037,0.160185389,0.112387106,0.156879751,0.113012525,0.157075316
883,0.113087872,0.162380527,0.108252244,0.158767142,0.122144604,0.176717973
890,0.109830911,0.159274914,0.127906361,0.168959424,0.098796276,0.151594559
894,0.1417775,0.172879765,0.168162161,0.183507629,0.117677874,0.162206902
895,0.095886057,0.155086973,0.136334679,0.179267091,0.136484991,0.171048103
899,0.114650714,0.172804109,0.113251219,0.158354616,0.139380451,0.163270403
901,0.135819014,0.180853389,0.111708845,0.156688803,0.127155752,0.173121426
916,0.126322423,0.16982391,0.115238563,0.162372858,0.154047264,0.193989853
921,0.13858739,0.172492031,0.164871889,0.173911309,0.143009958,0.176976836
937,0.10791691,0.161141868,0.102112598,0.154728947,0.118285208,0.167798481
